Code,Question Name,Question Weight,Answer,Answer Weight,Scoring Type,Metric Domain,Ordinal,All Vendors,Question Description,Branching Logic,Category Name,Internal,Upload Answers,Allows Text For Answers,Tech Vendor,System Vendor,Service Vendor,Allows Comment To Answers,Use Color Coding
COML:025,"Does the board or an appropriate board committee verify that management's actions consider the cyber risks that the institution poses to other critical infrastructures (e.g., telecommunications, energy)?",5,No,10,Organization,FFIEC CAT Cyber Org Maturity Level,25,NO,,,Cyber Risk Management and Oversight / Governance / Oversight,NO,NO,NO,NO,NO,NO,YES,YES
,,,N/A,5,,,,,,,,,,,,,,,
,,,Yes,0,,,,,,,,,,,,,,,
COML:026,"Does the institution have an information security strategy that integrates technology, policies, procedures, and training to mitigate risk?",1,No,10,Organization,FFIEC CAT Cyber Org Maturity Level,26,NO,,,Cyber Risk Management and Oversight / Governance / Strategies & Policies,NO,NO,NO,NO,NO,NO,YES,YES
,,,N/A,5,,,,,,,,,,,,,,,
,,,Yes,0,,,,,,,,,,,,,,,
COML:027,Does the institution have policies commensurate with its risk and complexity that address the concepts of information technology risk management?,1,No,10,Organization,FFIEC CAT Cyber Org Maturity Level,27,NO,,,Cyber Risk Management and Oversight / Governance / Strategies & Policies,NO,NO,NO,NO,NO,NO,YES,YES
,,,N/A,5,,,,,,,,,,,,,,,
,,,Yes,0,,,,,,,,,,,,,,,
COML:028,Does the institution have policies commensurate with its risk and complexity that address the concepts of threat information sharing?,1,No,10,Organization,FFIEC CAT Cyber Org Maturity Level,28,NO,,,Cyber Risk Management and Oversight / Governance / Strategies & Policies,NO,NO,NO,NO,NO,NO,YES,YES
,,,N/A,5,,,,,,,,,,,,,,,
,,,Yes,0,,,,,,,,,,,,,,,
COML:029,Does the institution have board-approved policies commensurate with its risk and complexity that address information security?,1,No,10,Organization,FFIEC CAT Cyber Org Maturity Level,29,NO,,,Cyber Risk Management and Oversight / Governance / Strategies & Policies,NO,NO,NO,NO,NO,NO,YES,YES
,,,N/A,5,,,,,,,,,,,,,,,
,,,Yes,0,,,,,,,,,,,,,,,
COML:030,Does the institution have policies commensurate with its risk and complexity that address the concepts of external dependency or third-party management?,1,No,10,Organization,FFIEC CAT Cyber Org Maturity Level,30,NO,,,Cyber Risk Management and Oversight / Governance / Strategies & Policies,NO,NO,NO,NO,NO,NO,YES,YES
,,,N/A,5,,,,,,,,,,,,,,,
,,,Yes,0,,,,,,,,,,,,,,,
COML:031,Does the institution have policies commensurate with its risk and complexity that address the concepts of incident response and resilience?,1,No,10,Organization,FFIEC CAT Cyber Org Maturity Level,31,NO,,,Cyber Risk Management and Oversight / Governance / Strategies & Policies,NO,NO,NO,NO,NO,NO,YES,YES
,,,N/A,5,,,,,,,,,,,,,,,
,,,Yes,0,,,,,,,,,,,,,,,
COML:032,Are all elements of the information security program coordinated enterprise-wide?,1,No,10,Organization,FFIEC CAT Cyber Org Maturity Level,32,NO,,,Cyber Risk Management and Oversight / Governance / Strategies & Policies,NO,NO,NO,NO,NO,NO,YES,YES
,,,N/A,5,,,,,,,,,,,,,,,
,,,Yes,0,,,,,,,,,,,,,,,
COML:033,Does the institution augment its information security strategy to incorporate cybersecurity and resilience?,2,No,10,Organization,FFIEC CAT Cyber Org Maturity Level,33,NO,,,Cyber Risk Management and Oversight / Governance / Strategies & Policies,NO,NO,NO,NO,NO,NO,YES,YES
,,,N/A,5,,,,,,,,,,,,,,,
,,,Yes,0,,,,,,,,,,,,,,,
COML:034,Does the institution have a formal cybersecurity program that is based on technology and security industry standards or benchmarks?,2,No,10,Organization,FFIEC CAT Cyber Org Maturity Level,34,NO,,,Cyber Risk Management and Oversight / Governance / Strategies & Policies,NO,NO,NO,NO,NO,NO,YES,YES
,,,N/A,5,,,,,,,,,,,,,,,
,,,Yes,0,,,,,,,,,,,,,,,
COML:035,Is a formal process in place to update policies as the institution's inherent risk profile changes?,2,No,10,Organization,FFIEC CAT Cyber Org Maturity Level,35,NO,,,Cyber Risk Management and Oversight / Governance / Strategies & Policies,NO,NO,NO,NO,NO,NO,YES,YES
,,,N/A,5,,,,,,,,,,,,,,,
,,,Yes,0,,,,,,,,,,,,,,,
COML:036,Does the institution have a comprehensive set of policies commensurate with its risk and complexity that address the concepts of threat intelligence?,3,No,10,Organization,FFIEC CAT Cyber Org Maturity Level,36,NO,,,Cyber Risk Management and Oversight / Governance / Strategies & Policies,NO,NO,NO,NO,NO,NO,YES,YES
,,,N/A,5,,,,,,,,,,,,,,,
,,,Yes,0,,,,,,,,,,,,,,,
COML:037,Does management periodically review the cybersecurity strategy to address evolving cyber threats and changes to the institution's inherent risk profile?,3,No,10,Organization,FFIEC CAT Cyber Org Maturity Level,37,NO,,,Cyber Risk Management and Oversight / Governance / Strategies & Policies,NO,NO,NO,NO,NO,NO,YES,YES
,,,N/A,5,,,,,,,,,,,,,,,
,,,Yes,0,,,,,,,,,,,,,,,
