Code,Question Name,Question Weight,Answer,Answer Weight,Scoring Type,Metric Domain,Ordinal,All Vendors,Question Description,Branching Logic,Category Name,Internal,Upload Answers,Allows Text For Answers,Tech Vendor,System Vendor,Service Vendor,Allows Comment To Answers,Use Color Coding
,,,Substantial number of cloud providers (>10); cloud-provider locations used include international; use of public cloud,10,,,,,,,,,,,,,,,
OIRP:15,2.1 - How is your online presence arranged?,5,No Web-facing applications or social media presence,2,Organization,FFIEC CAT Inherent Risk,15,NO,,,Delivery Channels,NO,NO,NO,NO,NO,NO,YES,YES
,,,Serves as an informational Web site or social media page,4,,,,,,,,,,,,,,,
,,,Serves as a delivery channel for retail online; may communicate to customers through social media,6,,,,,,,,,,,,,,,
,,,Serves as a delivery channel for wholesale customers; may include retail account origination,8,,,,,,,,,,,,,,,
,,,Internet applications serve as a channel to wholesale customers to manage large value assets,10,,,,,,,,,,,,,,,
OIRP:16,2.2 - How is your mobile presence arranged?,5,None,2,Organization,FFIEC CAT Inherent Risk,16,NO,,,Delivery Channels,NO,NO,NO,NO,NO,NO,YES,YES
,,,SMS text alerts or notices only; browser-based access,4,,,,,,,,,,,,,,,
,,,"Mobile application for retail customers (e.g., bill payment, mobile check capture, internal transfers only)",6,,,,,,,,,,,,,,,
,,,"Mobile application includes external transfers (e.g., for corporate clients, recurring external transactions)",8,,,,,,,,,,,,,,,
,,,"Full functionality, including originating new transactions",10,,,,,,,,,,,,,,,
OIRP:17,2.8 - What is the percentage of the total assets used for daily originated ACH payment volume?,5,No ACH origination,2,Organization,FFIEC CAT Inherent Risk,17,NO,,,Delivery Channels,NO,NO,NO,NO,NO,NO,YES,YES
,,,Originate ACH credits; daily volume <3% of total assets,4,,,,,,,,,,,,,,,
,,,Originate ACH debits and credits; daily volume is 3%-5% of total assets,6,,,,,,,,,,,,,,,
,,,Sponsor third-party payment processor; originate ACH debits and credits with daily volume 6%-25% of total assets,8,,,,,,,,,,,,,,,
,,,Sponsor nested third-party payment processors; originate debits and credits with daily volume that is >25% of total assets,10,,,,,,,,,,,,,,,
OIRP:18,"2.10 - What are the request channels for wire transfers?
What is the percentage of the total assets used for daily transaction volume of domestic wires?
What is the percentage of the total assets used for daily transaction volume of international wires?",5,Not offered,2,Organization,FFIEC CAT Inherent Risk,18,NO,,,Delivery Channels,NO,NO,NO,NO,NO,NO,YES,YES
,,,In person wire requests only; domestic wires only; daily wire volume <3% of total assets,4,,,,,,,,,,,,,,,
,,,"In person, phone, and fax wire requests; domestic daily wire volume 3%-5% of total assets; international daily wire volume <3% of total assets",6,,,,,,,,,,,,,,,
,,,"Multiple request channels (e.g., online, text, e-mail, fax, and phone); daily domestic wire volume 6%-25% of total assets; daily international wire volume 3%-10% of total assets",8,,,,,,,,,,,,,,,
,,,"Multiple request channels (e.g., online, text, e-mail, fax, and phone); daily domestic wire volume >25% of total assets; daily international wire volume >10% of total assets",10,,,,,,,,,,,,,,,
OIRP:19,2.11 - Do you host or provide IT services for other organizations (either through joint systems or administrative support)?,5,Do not provide IT services for other organizations,2,Organization,FFIEC CAT Inherent Risk,19,NO,,,Delivery Channels,NO,NO,NO,NO,NO,NO,YES,YES
,,,Host or provide IT services for affiliated organizations,4,,,,,,,,,,,,,,,
,,,Host or provide IT services for up to 25 unaffiliated organizations,6,,,,,,,,,,,,,,,
,,,Host or provide IT services for 26-50 unaffiliated organizations,8,,,,,,,,,,,,,,,
,,,Host or provide IT services for >50 unaffiliated organizations,10,,,,,,,,,,,,,,,
OIRP:20,3.1 - Are any mergers and acquisitions (including divestitures and joint ventures) foreseable in a near future?,5,None planned,2,Organization,FFIEC CAT Inherent Risk,20,NO,,,Organizational Characteristics,NO,NO,NO,NO,NO,NO,YES,YES
,,,Open to initiating discussions or actively seeking a merger or acquisition,4,,,,,,,,,,,,,,,
,,,In discussions with at least 1 party,6,,,,,,,,,,,,,,,
,,,"A sale or acquisition has been publicly announced within the past year, in negotiations with 1 or more parties",8,,,,,,,,,,,,,,,
,,,Multiple ongoing integrations of acquisitions are in process,10,,,,,,,,,,,,,,,
OIRP:21,3.2 - How many direct employees (including information technology and cybersecurity contractors) do you have in the organization?,5,Number of employees totals <50,2,Organization,FFIEC CAT Inherent Risk,21,NO,,,Organizational Characteristics,NO,NO,NO,NO,NO,NO,YES,YES
,,,"Number of employees totals 50-2,000",4,,,,,,,,,,,,,,,
,,,"Number of employees totals 2,001-10,000",6,,,,,,,,,,,,,,,
,,,"Number of employees totals 10,001-50,000",8,,,,,,,,,,,,,,,
,,,"Number of employees is >50,000",10,,,,,,,,,,,,,,,
OIRP:22,3.3 - What is the level of change in IT and Information Security staffing?,5,Key positions filled; low or no turnover of personnel,2,Organization,FFIEC CAT Inherent Risk,22,NO,,,Organizational Characteristics,NO,NO,NO,NO,NO,NO,YES,YES
,,,Staff vacancies exist for non-critical roles,4,,,,,,,,,,,,,,,
,,,Some turnover in key or senior positions,6,,,,,,,,,,,,,,,
,,,Frequent turnover in key staff or senior positions,8,,,,,,,,,,,,,,,
,,,Vacancies in senior or key positions for long periods; high level of employee turnover in IT or information security,10,,,,,,,,,,,,,,,
OIRP:23,"3.4 - Do you rely much on external resources with Privileged access (Administrators-network, database, applications, systems, etc.) to run IT operations?",5,Limited number of administrators; limited or no external administrators,2,Organization,FFIEC CAT Inherent Risk,23,NO,,,Organizational Characteristics,NO,NO,NO,NO,NO,NO,YES,YES
,,,Level of turnover in administrators does not affect operations or activities; may utilize some external administrators,4,,,,,,,,,,,,,,,
,,,Level of turnover in administrators affects operations; number of administrators for individual systems or applications exceeds what is necessary,6,,,,,,,,,,,,,,,
,,,High reliance on external administrators; number of administrators is not sufficient to support level or pace of change,8,,,,,,,,,,,,,,,
,,,High employee turnover in network administrators; many or most administrators are external (contractors or vendors); experience in network administration is limited,10,,,,,,,,,,,,,,,
OIRP:24,"3.5 - Does your IT environment (e.g., network, infrastructure, critical applications, technologies supporting new products or services) often  change?",5,Stable IT environment,2,Organization,FFIEC CAT Inherent Risk,24,NO,,,Organizational Characteristics,NO,NO,NO,NO,NO,NO,YES,YES
,,,Infrequent or minimal changes in the IT environment,4,,,,,,,,,,,,,,,
,,,Frequent adoption of new technologies,6,,,,,,,,,,,,,,,
,,,Volume of significant changes is high,8,,,,,,,,,,,,,,,
,,,Substantial change in outsourced provider(s) of critical IT services; large and complex changes to the environment occur frequently,10,,,,,,,,,,,,,,,
OIRP:25,"3.6 - Are locations of branches / business presence within a state, or in a region, or in a country, or in multiple countries?",5,1 state,2,Organization,FFIEC CAT Inherent Risk,25,NO,,,Organizational Characteristics,NO,NO,NO,NO,NO,NO,YES,YES
,,,1 region,4,,,,,,,,,,,,,,,
,,,1 country,6,,,,,,,,,,,,,,,
,,,1-20 countries,8,,,,,,,,,,,,,,,
,,,>20 countries,10,,,,,,,,,,,,,,,
OIRP:26,"3.7 - Are locations of operations/data centers within a state, or in a region, or in a country, or in multiple countries?",5,1 state,2,Organization,FFIEC CAT Inherent Risk,26,NO,,,Organizational Characteristics,NO,NO,NO,NO,NO,NO,YES,YES
,,,1 region,4,,,,,,,,,,,,,,,
,,,1 country,6,,,,,,,,,,,,,,,
,,,1-10 countries,8,,,,,,,,,,,,,,,
,,,>10 countries,10,,,,,,,,,,,,,,,
OIRP:27,4.1 - What is the monthly average number of attempted cyber attacks?,5,No attempted attacks or reconnaissance,2,Organization,FFIEC CAT Inherent Risk,27,NO,,,External Threats,NO,NO,NO,NO,NO,NO,YES,YES
,,,Yes - Credit Check Only,4,,,,,,,,,,,,,,,
,,,Yes  - Criminal Only,4,,,,,,,,,,,,,,,
,,,Few attempts monthly (<100); may have had generic phishing campaigns received by employees and customers,4,,,,,,,,,,,,,,,
,,,Several attempts monthly (100- 500); phishing campaigns targeting employees or customers at the institution or third parties supporting critical activities; may have experienced an attempted Distributed Denial of Service (DDoS) attack within the last year,6,,,,,,,,,,,,,,,
,,,Yes - Criminal and Drug Test,6,,,,,,,,,,,,,,,
,,,Yes - Criminal and Credit Check,8,,,,,,,,,,,,,,,
,,,"Significant number of attempts monthly (501-100,000); spear phishing campaigns targeting high net worth customers and employees at the institution or third parties supporting critical activities; Institution specifically is named in threat reports; may have experienced multiple attempted DDoS attacks within the last year",8,,,,,,,,,,,,,,,
,,,"Substantial number of attempts monthly (>100,000); persistent attempts to attack senior management and/or network administrators; frequently targeted for DDoS attacks",10,,,,,,,,,,,,,,,
,,,"Yes - Criminal, Credit and Drug Tests",10,,,,,,,,,,,,,,,
