Permission Group,Permission Title,Permissions/Roles,Description,Url,CYSURANCE
Dashboards / CFO,Crown Jewel Asses,dashboard_cfo_crown_jewel_asset,CFO Crown Jewel Asset Dashboard,,
Dashboards / CFO,Cybersecurity Tool ROI,dashboard_cfo_cybersecurity_tool_roi,Cybersecurity tool ROI Dashboard,,
Dashboards / CFO,M & A Dashboard,dashboard_cfo_m_and_a,M and A Dashboard,,
Dashboards / CFO,Organization Dashboard,dashboard_cfo_organization,Organization Dashboard,,
Dashboards / CFO,Vendor Dashboard,dashboard_cfo_vendor,Vendor Dashboard,,
Dashboards,BU Exposures and Scores,dashboard_admin,,,
Dashboards,GDPR Dashboard,dashboard_organization_system_gdpr,,,
Dashboards,Risk Register,dashboard_risk_register,,,
Dashboards,Data Exfiltrations,dashboard_data_exfiltrations,,,
Dashboards,Budget Scenario Analysis,dashboard_budget_scenario_analysis,,,
Dashboards,ELASTIO,dashboard_elastio,,,
Dashboards,CYSURANCE,dashboard_cysurance,,,Y
