Constant,Scope,Value,Default Value
EMAIL_CONFIRMATION$FAIL,UI,"Токен запроса для этой страницы недействителен. Возможно, он уже использовался или срок его действия истек, поскольку он устарел. Пожалуйста, вернитесь на сайт или в приложение, которое отправило вас сюда, и попробуйте снова.","The request token for this page is invalid. It may have already been used, or expired because it is too old. Please go back to the site or application that sent you here and try again."
EMAIL_CONFIRMATION$SUCCESS,UI,Адрес электронной почты был успешно подтвержден. Добро пожаловать!,The email address was successfully verified. Welcome aboard!
EXPOSURE_METRICS$CREATE_METRIC,UI,Создать метрику уязвимости,Create exposure metric
EXPOSURE_METRICS$EDIT_METRIC,UI,Редактировать метрику уязвимости,Edit exposure metric
EXPOSURE_METRICS$EXPOSURE_METRIC,UI,Метрика уязвимости,Exposure metric
EXPOSURE_METRICS$TITLE,UI,Метрики уязвимости,Exposure metrics
EXPOSURE_MODELS$EXPOSURE_MODEL,UI,Модель уязвимости,Exposure model
EXPOSURE_MODELS$EXPOSURE_MODEL_REQUIRED,UI,'Модель уязвимости' обязательна,Exposure model is required
EXPOSURE_MODELS$TITLE,UI,Модели уязвимости,Exposure models
FIXED_CAPITAL_COSTS$CREATE_COST,UI,Создать капитальные расходы,Create capital cost
FIXED_CAPITAL_COSTS$EDIT_COST,UI,Редактировать капитальные расходы,Edit capital cost
FIXED_CAPITAL_COSTS$LICENSE_COST,UI,Цена лицензии,License cost
FIXED_CAPITAL_COSTS$LICENSE_TYPE,UI,Тип лицензии,License type
FIXED_CAPITAL_COSTS$NUMBER_OF_CPUS,UI,Количество CPUs,Number of CPUs
FIXED_CAPITAL_COSTS$NUMBER_OF_USERS,UI,Количество пользователей,Number of users
FIXED_CAPITAL_COSTS$TITLE,UI,Фиксированные капитальные расходы,Fixed capital costs
FIXED_OPERATIONAL_COSTS$COST_CENTER,UI,Центр расходов,Cost center
FIXED_OPERATIONAL_COSTS$COST_CENTER_COLON,UI,Центр расходов:,Cost center:
FIXED_OPERATIONAL_COSTS$CREATE_COST,UI,Создать операционные расходы,Create operational cost
FIXED_OPERATIONAL_COSTS$EDIT_COST,UI,Редактировать операционные расходы,Edit operational cost
FIXED_OPERATIONAL_COSTS$PERSON,UI,Лицо,Person
FIXED_OPERATIONAL_COSTS$PERSON_COLON,UI,Лицо:,Person:
FIXED_OPERATIONAL_COSTS$SEARCH_BY_COST_CENTER,UI,Поиск по 'центру расходов',Search by cost center
FIXED_OPERATIONAL_COSTS$TITLE,UI,Фиксированные операционные расходы,Fixed operational costs
FORGOT_PASSWORD$DESCRIPTION,UI,"Пожалуйста, введите свой адрес электронной почты и мы вышлем вам письмо для сброса пароля.","Please enter your email address, and we'll send you a password reset email."
FORGOT_PASSWORD$RESET_PASSWORD,UI,Сброс пароля,Reset password
FORGOT_PASSWORD$TITLE,UI,Забыли пароль?,Forgot password?
GDPR$ARTICLE,UI,Статья,Article
GDPR$ARTICLE_COLON,UI,Статья:,Article:
GDPR$ARTICLES,UI,Статьи,Articles
GDPR$ARTICLES_COLON,UI,Статьи:,Articles:
GDPR$ARTICLES_NUMBER,UI,Количество статей:,Articles number:
GDPR$ARTICLES_PROCESSED,UI,Статей обработано:,Articles processed:
GDPR$CHAPTER,UI,Глава,Chapter
GDPR$CHAPTER_COLON,UI,Глава:,Chapter:
GDPR$COMPLIANCE,UI,Соответствие,Compliance
GDPR$COMPLIANCE_COLON,UI,Соответствие:,Compliance:
GDPR$COMPLIANCE_LOG,UI,Журнал GDPR-соответствий,GDPR Compliance log
GDPR$DOCUMENT_TYPE,UI,Тип документа,Document type
GDPR$EDIT_COMPLIANCE,UI,Редактировать соответствие,Edit compliance
GDPR$EDIT_DOCUMENT,UI,Редактировать свидетельство,Edit document
GDPR$EVIDENCE_DOCUMENTS,UI,GDPR-свидетельства,GDPR Evidence documents
GDPR$FILES_NUMBER,UI,Количество файлов:,Files number:
GDPR$GDPR,UI,GDPR,GDPR
GDPR$NO_DOCUMENTS,UI,Документы еще не были добавлены,There is no added documents yet
GDPR$ORGANIZATION_COMPLIANCE,UI,GDPR-соответствия организации,GDPR Organization compliance
GDPR$PARAGRAPH,UI,Параграф,Paragraph
GDPR$PARAGRAPH_COLON,UI,Параграф:,Paragraph:
GDPR$QUESTIONS_ANSWERED,UI,Вопросов отвечено,Questions answered
GDPR$QUESTIONS_APPLIED,UI,Вопросов задано,Questions applied
GDPR$SEARCH_BY_ARTICLE,UI,Поиск по 'статье',Search by article
GDPR$SECTION,UI,Раздел,Section
GDPR$SYSTEM_COMPLIANCE,UI,GDPR-соответствия системы,GDPR System compliance
GDPR$SYSTEM_COMPLIANCE_DRILLDOWN,UI,Подробнее о GDPR-соответствиях для системы {0},GDPR Compliance drilldown for {0} system
GDPR$SYSTEM_COMPLIANCE_LOG,UI,Журнал GDPR-соответствий для системы {0},GDPR Compliance log for {0} system
GDPR$TEMPLATE,UI,Шаблон,Template
GLOBALS$ADD,UI,Добавить,Add
GLOBALS$ADVANCED_SEARCH,UI,Расширенный поиск,Advanced search
GLOBALS$AGREE,UI,Согласиться,Agree
GLOBALS$ALL_ITEMS,UI,Все элементы,All items
GLOBALS$APPLY,UI,Применить,Apply
GLOBALS$AUDIT,UI,"Аудит","Audit"
GLOBALS$BACK,UI,Назад,Back
GLOBALS$CANCEL,UI,Отмена,Cancel
GLOBALS$CHANGE_LANGUAGE,UI,Сменить язык,Change language
GLOBALS$CLOSE,UI,Закрыть,Close
GLOBALS$CODE,UI,Код,Code
GLOBALS$CODE_REQUIRED,UI,Код обязателен,Code is required
GLOBALS$COMMENT,UI,"Комментарий","Comment"
GLOBALS$COMMENTS,UI,Комментарии,Comments
GLOBALS$CREATE,UI,Создать,Create
GLOBALS$CREATED,UI,Дата создания,Created
GLOBALS$CREATED_BY,UI,Создано,Created by
GLOBALS$CREDENTIALS_EXPIRED,UI,Учетные данные истекли,Credentials expired
GLOBALS$DEFAULT_CONFIRMATION,UI,Вы уверены?,Are you sure?
GLOBALS$DELETE,UI,Удалить,Delete
GLOBALS$DELETION_CONFIRMATION,UI,Удалить этот элемент?,Delete this item?
GLOBALS$DESCRIPTION,UI,Описание,Description
GLOBALS$DETAILS,UI,Детали,Details
GLOBALS$DISAGREE,UI,Отказаться,Disagree
GLOBALS$DOCUMENT,UI,Документ,Document
