Constant,Scope,Value,Default Value
DASHBOARDS$ASSESSMENT$ASSESSMENTS_REQUIREMENTS$ITEM_NAME,DASHBOARD,Assessments and Requirements,Assessments and Requirements
DASHBOARDS$ASSESSMENT$ASSESSMENTS_REQUIREMENTS$PERCENT_IN_PLACE_HEADER,DASHBOARD,Percent in Place,Percent in Place
DASHBOARDS$ASSESSMENT$ASSESSMENTS_REQUIREMENTS$REQUIREMENT_DESCRIPTION_HEADER,DASHBOARD,Requirement Description,Requirement Description
DASHBOARDS$ASSESSMENT$ASSESSMENTS_REQUIREMENTS$REQUIREMENT_NUMBER_HEADER,DASHBOARD,Requirement #,Requirement #
DASHBOARDS$ASSESSMENT$ASSESSMENTS_REQUIREMENTS$SECURITY_FRAMEWORK_HEADER,DASHBOARD,Security Framework,Security Framework
DASHBOARDS$ASSESSMENT$ASSESSMENTS_REQUIREMENTS$TASK_HEADER,DASHBOARD,Task,Task
DASHBOARDS$ASSESSMENT$ASSESSMENTS_REQUIREMENTS$TESTER_NAME_HEADER,DASHBOARD,Tester Name,Tester Name
DASHBOARDS$ASSESSMENT$ASSESSMENTS_TASKS$ITEM_DESCRIPTION,DASHBOARD,Assessments and Tasks Summary Scores,Assessments and Tasks Summary Scores
DASHBOARDS$ASSESSMENT$ASSESSMENTS_TASKS$ITEM_NAME,DASHBOARD,Assessments and Tasks,Assessments and Tasks
DASHBOARDS$ASSESSMENT$ASSESSMENTS_TASKS$SUMMARY_SCORES$ACTUAL_END_HEADER,DASHBOARD,Actual End Date,Actual End Date
DASHBOARDS$ASSESSMENT$ASSESSMENTS_TASKS$SUMMARY_SCORES$ACTUAL_START_HEADER,DASHBOARD,Actual Start Date,Actual Start Date
DASHBOARDS$ASSESSMENT$ASSESSMENTS_TASKS$SUMMARY_SCORES$ASSESSMENT_NAME_HEADER,DASHBOARD,Assessment Name,Assessment Name
DASHBOARDS$ASSESSMENT$ASSESSMENTS_TASKS$SUMMARY_SCORES$ASSIGNEE_HEADER,DASHBOARD,Assignee,Assignee
DASHBOARDS$ASSESSMENT$ASSESSMENTS_TASKS$SUMMARY_SCORES$FRAMEWORK_HEADER,DASHBOARD,Framework,Framework
DASHBOARDS$ASSESSMENT$ASSESSMENTS_TASKS$SUMMARY_SCORES$PLANNED_END_HEADER,DASHBOARD,Planned End Date,Planned End Date
DASHBOARDS$ASSESSMENT$ASSESSMENTS_TASKS$SUMMARY_SCORES$PLANNED_START_HEADER,DASHBOARD,Planned Start Date,Planned Start Date
DASHBOARDS$ASSESSMENT$ASSESSMENTS_TASKS$SUMMARY_SCORES$STATUS_HEADER,DASHBOARD,Status,Status
DASHBOARDS$ASSESSMENT$ASSESSMENTS_TASKS$SUMMARY_SCORES$TASK_NAME_HEADER,DASHBOARD,Task Name,Task Name
DASHBOARDS$ASSESSMENT$ASSESSMENTS_TASKS$SUMMARY_SCORES$TYPE_HEADER,DASHBOARD,Type,Type
DASHBOARDS$ASSESSMENT$DESCRIPTION,DASHBOARD,Displays the status of cybersecurity assessments,Displays the status of cybersecurity assessments
DASHBOARDS$ASSESSMENT_FINDING$DESCRIPTION,DASHBOARD,Assessment Findings,Assessment Findings
DASHBOARDS$ASSESSMENT_FINDING$MAIN_SECTION$ASSESSMENT_FINDINGS_TABLE$ITEM_NAME,DASHBOARD,,
